tag2,necessary_info,hint,cipher,question,vulnerability,tag1,archetype,ciphertext,extra_info,mode,subtype,flag,difficulty
,The flag format is flag{...},Caesar ciphers are easily broken by brute force or frequency analysis.,Caesar,"
A Roman general left orders encrypted for his legions. Only those who grasp Caesar’s secret can reveal the message: zfua{5i5pebxb}


The flag format is flag{...}",,,classical_cipher,zfua{5i5pebxb},The shift used is: 20,,caesar,flag{5o5vkhdh},easy
,"The flag format is flag{...}
The keyword is: mymj",Vigenère ciphers are vulnerable to Kasiski examination and frequency analysis.,Vigenère,"An intercepted message, encrypted by rebels using a classic cipher, was found. Can you recover their secret plan? Ciphertext: rjmp{0lsfi24y}

The flag format is flag{...}
The keyword is: mymj",,,classical_cipher,rjmp{0lsfi24y},,,vigenere,flag{0zutz24m},not defined
,"The flag format is flag{...}
The keyword is: wxrklqrp",Playfair is vulnerable to digraph frequency analysis.,Playfair,"A mysterious letter was found in Turing's desk. Can you decrypt the secret message using the Playfair cipher? The ciphertext is: zdmercvgqnlamqdfknxarcvgqnlnptfagmkxdfqvizsomercvgqnlamqdfwnncnpmvcrozupumvwsqfmalubwtsoudhsomptfpifrqizdfdnlnzwtwfxcritfkpnmzcowtuvwtsoqscefxhrbfotfimq

The flag format is flag{...}
The keyword is: wxrklqrp",,,classical_cipher,zdmercvgqnlamqdfknxarcvgqnlnptfagmkxdfqvizsomercvgqnlamqdfwnncnpmvcrozupumvwsqfmalubwtsoudhsomptfpifrqizdfdnlnzwtwfxcritfkpnmzcowtuvwtsoqscefxhrbfotfimq,"The playfair table is [['w', 'x', 'r', 'k', 'l'], ['q', 'p', 'a', 'b', 'c'], ['d', 'e', 'f', 'g', 'h'], ['i', 'm', 'n', 'o', 's'], ['t', 'u', 'v', 'y', 'z']]",,playfair,flag{j2y0dnip},not defined
,"The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: welcome to the ancient library. hidden within these words is your key: ",Hill ciphers can be broken using known-plaintext attacks and linear algebra mod 26.,Hill,"An old professor left a puzzle in his journal—decode the cipher below using the right Hill matrix to find where he hid the key: skwfcerkhsulnaacjyntpywlchitbljygszlfwzluiiqnoipqgmqhyeqnycbmyfhimpsbq

The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: welcome to the ancient library. hidden within these words is your key: ",,,classical_cipher,skwfcerkhsulnaacjyntpywlchitbljygszlfwzluiiqnoipqgmqhyeqnycbmyfhimpsbq,"The matrix used is: [[12, 23], [19, 2]]",,hill,flag{utfagcdi},not defined
,The flag format is flag{...},Rail Fence is a simple transposition cipher vulnerable to reconstruction by analyzing positions.,Rail Fence,"
An old hacker left a clue to his wallet's key, scrambled with the Rail Fence cipher. Can you decode fa{12lxlgldpi} to access the treasure?


The flag format is flag{...}",,,classical_cipher,fa{12lxlgldpi},The rails value is: 2,,rail_fence,flag{l1d2plix},not defined
,The flag format is flag{...},Simple substitution ciphers are susceptible to frequency analysis.,Substitution,"A hacker left a note in an old-school code. Can you decipher the message hidden within: zp wakmycnaembk, e dfrdyzyfyzcp wzmbla zd e ilybcq cv lpwakmyzpn zp sbzwb fpzyd cv mtezpylxy eal almtewlq szyb ybl wzmblaylxy, zp e qlvzplq ieppla, szyb ybl bltm cv e glk; ybl ""fpzyd"" iek rl dzpntl tlyylad (ybl icdy wciicp), mezad cv tlyylad, yazmtlyd cv tlyylad, izxyfald cv ybl ercul, epq dc vcayb. ybl alwlzula qlwzmblad ybl ylxy rk mlavcaizpn ybl zpuladl dfrdyzyfyzcp macwldd yc lxyaewy ybl caznzpet ilddenl. tzglszdl, hewjfld jfzwgtk ozmmlq ybacfnb e jfldyzcp cp olac-gpcstlqnl maccvd, lpdfazpn pc wazyzwet tlyyla sed tlvy cfy cv cfa wakmycnaembzw mfootl.vten{iniqyc5t}?

The flag format is flag{...}",,,classical_cipher,"zp wakmycnaembk, e dfrdyzyfyzcp wzmbla zd e ilybcq cv lpwakmyzpn zp sbzwb fpzyd cv mtezpylxy eal almtewlq szyb ybl wzmblaylxy, zp e qlvzplq ieppla, szyb ybl bltm cv e glk; ybl ""fpzyd"" iek rl dzpntl tlyylad (ybl icdy wciicp), mezad cv tlyylad, yazmtlyd cv tlyylad, izxyfald cv ybl ercul, epq dc vcayb. ybl alwlzula qlwzmblad ybl ylxy rk mlavcaizpn ybl zpuladl dfrdyzyfyzcp macwldd yc lxyaewy ybl caznzpet ilddenl. tzglszdl, hewjfld jfzwgtk ozmmlq ybacfnb e jfldyzcp cp olac-gpcstlqnl maccvd, lpdfazpn pc wazyzwet tlyyla sed tlvy cfy cv cfa wakmycnaembzw mfootl.vten{iniqyc5t}","The substitution map is: {'a': 'e', 'b': 'r', 'c': 'w', 'd': 'q', 'e': 'l', 'f': 'v', 'g': 'n', 'h': 'b', 'i': 'z', 'j': 'h', 'k': 'g', 'l': 't', 'm': 'i', 'n': 'p', 'o': 'c', 'p': 'm', 'q': 'j', 'r': 'a', 's': 'd', 't': 'y', 'u': 'f', 'v': 'u', 'w': 's', 'x': 'x', 'y': 'k', 'z': 'o'}",,substitution,flag{mgmdto5l},not defined
,The flag format is flag{...},Columnar transposition ciphers can be broken by analyzing column lengths and patterns.,Transposition,"An ancient hacker left a secret phrase in encrypted form. Only by undoing the strange rearrangement can you reveal it: yr,nicroneacrmdciirepifasni)oaghthlTpipretleylaegsaecialsouithsmitaxefostisconetfsaxianesssphfcwroosiorneocnsscplhGprlgaepmdeoAcciad)g8}cohroohloauohshepwsbhisaerootcieasssnicrrnfn(cccoucc)rtgsmoaetheaoptTifutnehohtsniptuthtieveeieenstnstpitreb,hrcreDcrmhqtrohieraEpSaElqsrgyasneswptneaonthcletorrasnhhnccte.stisdipttahtrphtadouytdcrwirtflehfrbucrinahiotleteahtmestfnttpidtieoheniaiiistFiopiuyynokmnnnttrSazrIpaasti(karti)eorocasoocc(stwuntaeevroohersaxplrrrorrcnratpcpeiauohityemtip,htgpiuoitndgute.ieeeeasnutnasyfoeitahieVhcehlntestdderon(.{mntptpipansmipitfynhmtsnhttpiitghrrmeasneouoitiyasofasogererehxcptnen.drsiohwdceoonfnbscenhlDtdrbeniabuot,atmdnolekAXeox-icitlhevdyndAffi

The flag format is flag{...}",,,classical_cipher,"yr,nicroneacrmdciirepifasni)oaghthlTpipretleylaegsaecialsouithsmitaxefostisconetfsaxianesssphfcwroosiorneocnsscplhGprlgaepmdeoAcciad)g8}cohroohloauohshepwsbhisaerootcieasssnicrrnfn(cccoucc)rtgsmoaetheaoptTifutnehohtsniptuthtieveeieenstnstpitreb,hrcreDcrmhqtrohieraEpSaElqsrgyasneswptneaonthcletorrasnhhnccte.stisdipttahtrphtadouytdcrwirtflehfrbucrinahiotleteahtmestfnttpidtieoheniaiiistFiopiuyynokmnnnttrSazrIpaasti(karti)eorocasoocc(stwuntaeevroohersaxplrrrorrcnratpcpeiauohityemtip,htgpiuoitndgute.ieeeeasnutnasyfoeitahieVhcehlntestdderon(.{mntptpipansmipitfynhmtsnhttpiitghrrmeasneouoitiyasofasogererehxcptnen.drsiohwdceoonfnbscenhlDtdrbeniabuot,atmdnolekAXeox-icitlhevdyndAffi","The key length is 5, and the key order is [4, 2, 3, 0, 1].",,transposition,flag{fqz8misr},not defined
,"The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: In each case, the resulting plaintext appears almost random.
The seed lenght is 3 and only alphabetic characters count.","Autokey ciphers are vulnerable once enough plaintext is known, allowing reconstruction of the key.",Autokey,"An old hacker left a message, but the key vanished. Can you recover the original password hidden in this Autokey-ciphered note? The ciphertext: cv cipu gaul, gje jirheamax tdutgbrdg papmnkw xezohi vaevbm.qxoy{8j76okes}

The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: In each case, the resulting plaintext appears almost random.
The seed lenght is 3 and only alphabetic characters count.",,,classical_cipher,"cv cipu gaul, gje jirheamax tdutgbrdg papmnkw xezohi vaevbm.qxoy{8j76okes}",The key seed is: uiy,,autokey,flag{8q76btef},not defined
,The flag format is flag{...},The message is encoded multiple times with Base64. Decode iteratively to recover the original flag.,Base64,"An ancient message was intercepted, but it's encoded strangely. Can you decipher Vm0xd1NtUXlWa1pPVldoVFlUSlNjRlJVVGtOamJGVjNWbTVrYW1KR1NsbFVWVkpUVkd4S2RWRnNhRmRXTTAweFdXdGFXbVF5U2tWWGJGWlhWbXRaZWxaVldrWlBWa0pTVUZRd1BRPT0= using your cryptography skills?

The flag format is flag{...}",,,classical_cipher,Vm0xd1NtUXlWa1pPVldoVFlUSlNjRlJVVGtOamJGVjNWbTVrYW1KR1NsbFVWVkpUVkd4S2RWRnNhRmRXTTAweFdXdGFXbVF5U2tWWGJGWlhWbXRaZWxaVldrWlBWa0pTVUZRd1BRPT0=,Encoded 7 times in total.,,base64_layered,flag{kwj8y3ro},easy
,The flag format is flag{...},"Morse Code represents each letter as a series of dots and dashes. Spaces separate letters, and slashes separate words.",Morse Code,"A secret radio broadcast aired ..-. .-.. .- --. { ...-- . ---.. ..-. -... .- .-.. --.. }. Can you decode the message hidden in the dots and dashes?

The flag format is flag{...}",,,classical_cipher,..-. .-.. .- --. { ...-- . ---.. ..-. -... .- .-.. --.. },"Morse Code follows international standards, with letters separated by spaces and words separated by slashes.",,morse_code,flag{3e8fbalz},not defined
